歌番号,歌人,歌,現代語訳,出典,決まり字,おだやかポジティブ現代語訳,情熱ポジティブ現代語訳
61,伊勢大輔,いにしへの 奈良の都の 八重桜 今日九重に にほひぬるかな,かつての奈良の都にあった八重桜が今日は九重、宮中で一段と咲き誇っていますよ。,詞花集 春 29,いに,いにしえの奈良の都で咲き誇っていた八重桜が、今日はこの宮中で、より一層華やかに、美しく咲き誇っています。,古都・奈良の美しい八重桜が今ここでさらに美しく咲き誇っている！伝統を受け継ぎつつ今が一番の全盛期だと感じる華やかさだ。
62,清少納言,夜をこめて 鳥のそらねは はかるとも よに逢坂の 関はゆるさじ,夜の深いうちに鶏の鳴き真似をしてあの函谷関の番人はだませたとしても、決してこの逢坂の関は許しませんからね。,後拾遺集 雑二 939,よを,夜が明けないうちに鶏の鳴き真似をして人をだますことはできても、この逢坂の関は決してあなたを通しません。私の愛の関は、そんなに甘くはありませんよ。,鶏の鳴きマネをして騙そうとしても無駄よ。ここは鉄壁の守り！私のガードは固いしそんな小手先の技を見破る賢さを持っているの。
63,左京大夫道雅,今はただ 思ひ絶えなむ とばかりを 人づてならで 言ふよしもがな,今となってはせめて「思いをあきらめよう」とだけでも人づてでなくて、直接言う方法があってほしいものだよ。,後拾遺集 恋三 750,いまは,今となっては、せめて「あなたへの想いは諦めます」と、人づてではなく、あなたに直接伝える方法があれば、どんなにすっきりするだろう。,噂や人づてじゃなくて直接会ってハッキリ言いたい！自分の気持ちにケジメをつけるため堂々と正面から向き合いたいんだ。
64,権中納言定頼,朝ぼらけ 宇治の川霧 たえだえに あらはれわたる 瀬々の網代木,夜がしらじらと明けはじめると、宇治川に立ちこめた霧の絶え間から次第に見えてくる、瀬々に仕掛けた網代木であるよ。,千載集 冬 420,あさぼらけう,夜が明け始め、宇治川に立ち込めていた霧が晴れていくと、川の瀬ごとに仕掛けられた網代木が、だんだんと姿を現してくる。なんと幻想的な朝の光景だろう。,川霧が晴れていき風景がパノラマのように広がっていく。朝の清々しい空気の中で世界が目覚める瞬間を目撃している。
65,相模,恨みわび ほさぬ袖だに あるものを 恋に朽ちなむ 名こそ惜しけれ,あの人を恨みつづけることもできず、涙に濡れて乾かぬ袖さえまだあるというのに、袖よりも先にこの恋のために朽ちてしまうだろう私の評判の方が惜しいことです。,後拾遺集 恋四 815,うら,あなたを恨み続けることにも疲れ、涙で乾くことのないこの袖。でも、それよりも、この素晴らしい恋によって朽ちていく私の名声こそが、何よりも価値があるのです。,涙で袖が濡れるのも悪くないが恋に溺れて評判を落とすのはもったいない。私は恋も楽しみつつ自分のプライドも大切にする。
66,前大僧正行尊,もろともに あはれと思へ 山桜 花よりほかに 知る人もなし,一緒にしみじみとなつかしく思っておくれ、山桜よ。お前よりほかに私の気持ちを分かる人はいないのだよ。,金葉集 雑上 521,もろ,私と一緒に、この美しい景色を分かち合っておくれ、山桜よ。この感動を理解してくれるのは、お前しかいないのだから。,山奥で桜と二人きり。他の誰も知らないこの美しさを私と桜だけで共有している。最高のパートナーシップを感じる瞬間だ。
67,周防内侍,春の夜の 夢ばかりなる 手枕に かひなく立たむ 名こそ惜しけれ,春の夜の夢のようなかりそめの手枕をお借りしたばかりに、何の甲斐もなく立ってしまう浮名がもったいないのですよ。,千載集 雑上 964,はるの,春の夜の夢のように、ほんの少し腕枕をしてもらっただけなのに、それが原因で浮名が立ってしまうなんて、私の魅力も罪なものですね。,春の夜の夢のような誘惑だけど私は自分の評判を大事にするわ。一時の感情に流されず自分を律することができる強さが私にはある。
68,三条院,心にも あらでうき世に ながらへば 恋しかるべき 夜半の月かな,心ならずも辛いこの世の中に生きながらえたとしたら、恋しく思うにちがいない今宵の月だよ。,後拾遺集 雑一 860,こころに,もし、この辛い世の中に生きながらえることがあるならば、今宵のこの美しい月を、きっと懐かしく思い出すことだろう。,不本意ながらも生き続けていればこんなに美しい月を懐かしく思い出せる日が来る。未来にはきっと素晴らしい思い出が待っているはずだ。
69,能因法師,嵐吹く 三室の山の もみぢ葉は 竜田の川の 錦なりけり,嵐の吹き下ろす三室の山の紅葉は、ふもとの龍田の川の錦であったよ。,後拾遺集 秋下 366,あらし,嵐が吹き荒れる三室山の紅葉が、麓の龍田川へと舞い落ち、川面を錦のように見事に染め上げている。自然の力の偉大さを感じる光景だ。,嵐が紅葉を吹き飛ばして川が一面豪華な錦織のようになった！自然が豪快に作り出した極彩色のスペクタクルだ。
70,良暹法師,さびしさに 宿を立ち出でて ながむれば いづこも同じ 秋の夕暮,寂しさに耐えかねて、庵を立ち出てあたりをながめてみたら、どこも同じく寂しいものだったよ、秋の夕暮れは。,後拾遺集 秋上 333,さ,静寂に包まれた庵から出てあたりを眺めてみると、どこも同じように美しい秋の夕暮れが広がっている。この穏やかな時間を、心ゆくまで味わおう。,寂しくて外に出たらどこもかしこも美しい秋の夕暮れだった。この静けさは世界共通でみんな同じ空の下にいるという一体感を感じる。
71,大納言経信,夕されば 門田の稲葉 おとづれて 芦のまろやに 秋風ぞ吹く,夕方になると門前の田の稲葉に音を立てて、蘆ぶきのまろ屋に秋風が吹くことだ。,金葉集 秋 173,ゆふ(読み方: ゆう),夕暮れ時になると、門の前の田んぼの稲葉が風にそよぎ、その音が葦葺きの小さな家まで届く。秋の風が、心地よい音楽を奏でているようだ。,夕方になると稲穂が揺れる音が聞こえてきて秋風が心地よく吹き抜ける。収穫の予感と自然のBGMに包まれた豊かな田園生活だ。
72,祐子内親王家紀伊,音に聞く 高師の浜の あだ波は かけじや袖の ぬれもこそすれ,うわさに聞く高師の浜のいたずらに立つ波は掛けませんよ。あなたの浮ついた気持ちが心に掛かって涙するように、袖が濡れると困りますから。,金葉集 恋下 469,おと,噂に名高い高師の浜の、気まぐれに立つ波は、私の心には寄せ付けません。あなたの浮ついた気持ちで、私の袖が涙で濡れるなんて、まっぴらごめんですから。,あの高い波は有名だけど私は近づかないわ。自分の心を守り危険を回避する賢い選択ができる私って素敵。
73,前中納言匡房,高砂の 尾上の桜 咲きにけり 外山の霞 立たずもあらなむ,あの高い山の峰の桜が咲いたよ。手前の山の霞よ、どうか立たずにいておくれ。,後拾遺集 春上 120,たか,遠くの高い山の峰に、待ちに待った桜が咲いた。どうか手前の山にかかる霞よ、その美しい姿を隠さないでおくれ。,山頂の桜が満開だ！霞よどいてくれ。この素晴らしい景色をフルハイビジョンで隅々まで堪能したいんだ！
74,源俊頼朝臣,うかりける 人を初瀬の 山おろし 激しかれとは 祈らぬものを,辛くあたっていた人を、初瀬の山おろしよ、お前のようにもっと激しくあれとは祈らなかったのに。,千載集 恋二 708,うか,私に冷たくあたったあの人のことを、初瀬の山から吹き下ろす激しい風のように、もっと激しくなってしまえ、なんて祈ることはありませんでしたよ。,山おろしのように激しい君の態度！私が祈ったのは愛だけどこんなに強烈な反応が返ってくるなんてパワフルで刺激的だね。
75,藤原基俊,契りおきし させもが露を 命にて あはれ今年の 秋もいぬめり,約束しておいた「させも草」の露を命と頼んでいたが、ああ、今年の秋もこのまま行ってしまうようだ,千載集 雑上 1026,ちぎりお,あなたが誓ってくれた「さしも草」の露のような言葉を命綱にして、今年の秋もあなたを待ち続けています。この一途な想いが、きっと届くと信じて。,約束という名の希望をエネルギーにして生きてきた。今年も秋が過ぎていくけれど希望を持ち続けて生きる私の生命力はすごい。
76,法性寺入道前関白太政大臣,わたの原 漕ぎ出でて見れば 久方の 雲居にまがふ 沖つ白波,大海原に漕ぎ出して、眺めてみると、雲と見紛うばかりの沖の白波だよ。,詞花集 雑下 382,わたのはらこ,広大な海に船を漕ぎ出してあたりを見渡せば、はるか沖の白波が、まるで大空の雲と見間違えるほどに、雄大に広がっている。,海に漕ぎ出してみたら沖の白波が雲と繋がっているようだ！空と海が一体化した広大で爽快なパノラマビューの中に私はいる。
77,崇徳院,瀬を早み 岩にせかるる 滝川の われても末に 逢はむとぞ思ふ,流れが速いので岩にせきとめられた滝川が割れても末には合わさるように、あなたと今別れても行末にはきっと逢おうと思うことです。,詞花集 恋上 229,せ,川の流れが速く、岩にせき止められた滝の水が二つに分かれても、やがてまた一つになるように、今は離れ離れの私たちも、未来には必ず結ばれると信じています。,岩にぶつかって水が分かれても必ずまた合流する。私たちも今は離れても未来では絶対に再会できる！ハッピーエンド確定の予言だ。
78,源兼昌,淡路島 かよふ千鳥の 鳴く声に いく夜寝覚めぬ 須磨の関守,淡路島から通ってくる千鳥の鳴く声にいったい幾晩目覚めたことか、須磨の関守は,金葉集 冬 270,あはぢ(読み方: あわじ),淡路島から須磨の関まで通ってくる千鳥の鳴き声に、関守は幾夜、目を覚ましたことだろう。その声を聞きながら、何を想っていたのだろうか。,千鳥の鳴き声が聞こえるたびに目が覚める。自然の音に敏感になれる都会では味わえない贅沢なキャンプ・ナイトだ。
79,左京大夫顕輔,秋風に たなびく雲の 絶え間より もれ出づる月の 影のさやけさ,秋風にたなびく雲の絶え間からもれ出てくる月の光の澄みきったことよ。,新古今集 秋上 413,あきか,秋風によって、たなびく雲の切れ間から漏れ出てくる月の光は、なんと清らかで、澄み渡っているのだろう。心が洗われるような美しさだ。,雲の切れ間から強烈な月の光が射し込んできた！闇を切り裂くようなサーチライト、このクリアで美しい光景を見逃さなくてよかった。
80,待賢門院堀川,長からむ 心も知らず 黒髪の 乱れて今朝は 物をこそ思へ,長く思い続けてくれるのでしょうか、あなたの心はわかりません。ただ、黒髪が乱れるように、心乱れて今朝は物思いにくれているのですよ。,千載集 恋三 802,ながか,あなたの心が、これからもずっと私を想い続けてくれるかは分からない。でも、私の黒髪が乱れるように、心乱れる今朝のこの物思いこそが、あなたを愛している証なのです。,長い黒髪が乱れるほど昨夜の余韻に浸っている。先のことは分からないけど今朝の私は愛の記憶で胸がいっぱいだ。
81,後徳大寺左大臣,ほととぎす 鳴きつる方を ながむれば ただ有明の 月ぞ残れる,ほととぎすが鳴いた方を眺めてみると、ただ有明の月が残るだけであったよ。,千載集 夏 161,ほ,ホトトギスが鳴いた方をふと眺めてみると、その姿はなく、ただ静かに有明の月が空に残っているだけだった。なんと余韻のある、美しい朝だろう。,ホトトギスの声がした方を見たら美しい月が残っていた。音と光の共演、早起きした人だけが得られる清々しい朝のサプライズだ。
82,道因法師,思ひわび さても命は あるものを 憂きにたへぬは 涙なりけり,恋の思いにこらえきれずにいて、それでも命はあるというのに、辛さに耐え切れなかったのは涙であったよ。,千載集 恋三 818,おも,恋の悩みに苦しみながらも、こうして命がある。この辛さに耐えきれず溢れ出る涙こそが、私が生きている証なのだ。,悩み苦しんでも私はしぶとく生きている！溢れ出る涙は私が全力で感情を味わい生命力豊かに生きている証拠だ。
83,皇太后宮大夫俊成,世の中よ 道こそなけれ 思ひ入る 山の奥にも 鹿ぞ鳴くなる,ああ世の中よ、ここから逃れる道はないものだ。思いつめて入ったこの山の奥でも鹿が鳴いているようだ。,千載集 雑中 1151,よのなかよ,この世は、どこへ行っても悩みから逃れる道はないようだ。思い詰めて分け入ったこの山の奥でさえ、私と同じように、仲間を求めて鳴く鹿の声がする。,世の中に逃げ場はない、つまりどこへ行っても世界は繋がっている！山奥で鹿の声を聞きどんな場所でも生きていける覚悟が決まった。
84,藤原清輔朝臣,長らへば またこのごろや しのばれむ 憂しと見し世ぞ 今は恋しき,生きながらえたとしたら、今この頃がなつかしく偲ばれるのだろうか。あの辛いと思っていた昔が今では恋しいよ。,新古今集 雑下 1843,ながら,もしこの先も生きながらえるなら、辛いことばかりの今のこの頃も、いつか懐かしく思い出す日が来るのだろうか。あの頃は辛いと思っていた過去でさえ、今では愛おしいのだから。,長生きすれば今の苦労も「あの頃はよかった」と笑い話になるはず。過去の苦難が良い思い出になったように未来は明るい！
85,俊恵法師,夜もすがら もの思ふころは 明けやらで ねやのひまさへ つれなかりけり,夜通し物思いにくれているこのごろはなかなか夜が明けず、寝屋のすき間までつれなく感じられることだ。,千載集 恋二 766,よも,一日中あなたのことを想っていると、なかなか夜が明けてくれない。寝室の隙間から差し込む光さえもが、私と同じように、あなたを待ちわびているようだ。,一晩中考え事をして夜明けが遠く感じる。自分の部屋の隙間さえ愛おしく思えるほどとことん自分の内面と向き合う濃密な夜だ。
86,西行法師,嘆けとて 月やはものを 思はする かこち顔なる わが涙かな,嘆けと言って月が物思いをさせるのだろうか。そうではないのに、月のせいにしてこぼれ落ちる我が涙であるよ。,千載集 恋五 929,なげけ,「さあ、嘆きなさい」と言って、月が私に物思いをさせているのだろうか。いや、そうではない。全ては私の心が生み出す幻。そう思うと、この涙さえも愛おしく思えてくる。,月が綺麗すぎて涙が出てくる！「月のせい」にしたくなるほど感受性が豊かになってロマンチックな気分に浸っているんだ。
87,寂蓮法師,村雨の 露もまだひぬ 槇の葉に 霧立ちのぼる 秋の夕暮,村雨の露もまだ乾かぬ真木の葉に霧が立ちのぼってゆく秋の夕暮れよ。,新古今集 秋下 491,む,にわか雨が通り過ぎ、まだ露も乾かない真木の葉の間から、白い霧が立ち上っていく。なんと幻想的で美しい、秋の夕暮れの光景だろう。,通り雨のあと木々の緑が輝き霧が幻想的に立ち上る。雨上がりの森が見せるマイナスイオンたっぷりの浄化された世界だ。
88,皇嘉門院別当,難波江の 芦のかりねの ひとよゆゑ みを尽くしてや 恋ひわたるべき,難波江の蘆の刈り根の一節のような、旅の仮寝の一夜のために、この澪標ならぬ、身を尽くして恋しく思い続けることになるのでしょうか。,千載集 恋三 807,なにはえ(読み方: なにわえ),難波江の葦の刈り株のような、ほんの一夜の仮寝のために、この身を滅ぼすほど、あなたを恋い慕い続けなければならないのでしょうか。私の恋は、それほどまでに情熱的なのです。,たった一夜の思い出だけで一生恋していられる！それほど強烈で素晴らしい体験をした私はなんて幸運なんだろう。
89,式子内親王,玉の緒よ 絶えなば絶えね ながらへば 忍ぶることの 弱りもぞする,わが命よ、絶えてしまうのであれば絶えてしまえ。このまま生きながらえたら、忍ぶ思いが弱ってしまいそうだから。,新古今集 恋一 1034,たま,私の命よ、絶えてしまうなら、いっそ絶えてしまえ。このまま生き長らえて、あなたへの想いを秘め続ける力が弱ってしまうくらいなら、その方がいい。,私の魂よ今が絶頂だ！この秘めた恋心が爆発しそうなほどの高揚感。命が燃え尽きるくらい私は今情熱的に生きている！
90,殷富門院大輔,見せばやな 雄島のあまの 袖だにも 濡れにぞ濡れし 色は変はらず,見せたいものです。あの松島の雄島の海人の袖でさえも波にさんざん濡れているけど色は変わらないというのに。,千載集 恋四 886,みせ,あなたに見せてあげたい。雄島の漁師の袖でさえ、波に濡れても色は変わらないというのに、私の恋心は、涙で色褪せるどころか、ますます燃え上がっているのです。,見て私の袖！漁師のように波をかぶっても色は変わらない。どんな逆境にも負けない私のタフで一途な心を見習ってほしいわ。
91,後京極摂政前太政大臣,きりぎりす 鳴くや霜夜の さむしろに 衣かたしき ひとりかも寝む,こおろぎのなく、霜の降りた寒い夜に、むしろの上に衣の袖を片方だけ敷いてひとりで寝るのであろうか。,新古今集 秋下 518,きり,コオロギが鳴く、霜の降りる寒い夜。私は、着物の片袖を敷いて、一人静かに、豊かな思索にふけりながら眠りにつくのだろうか。,コオロギの声が響くクリアな冬の夜。自分の着物を重ねて温まりながら静寂を独り占めする贅沢なソロ・キャンプ気分だ。
92,二条院讃岐,わが袖は 潮干に見えぬ 沖の石の 人こそ知らね 乾く間もなし,私の袖は、潮が引いた時にも見えない沖の石のように、知る人はいないけれども乾く間もなく涙でぬれ続けているのですよ。,千載集 恋二 760,わがそ,私の袖は、潮が引いても決して海面に現れることのない沖の石のように、人知れず、あなたへの想いで流す涙で、乾く暇もありません。,海の中にある石のように私の袖は常に潤っている。誰にも見えない場所で豊かな感情の海に浸り続けているんだ。
93,鎌倉右大臣,世の中は 常にもがもな 渚こぐ あまの小舟の 綱手かなしも,世の中は常に変わらぬものであってほしいことだ。渚を漕ぐ海人の、小舟の綱手ひく姿がしみじみとするよ。,新勅撰集 羇旅 525,よのなかは,この世の中は、いつまでも変わらずに、このままであってほしい。渚を漕いでいく漁師が、小さな舟の綱を引いている。その素朴な姿に、心が深く満たされるよ。,この平和な景色がずっと続いてほしい！漁師が小舟を引くのどかな風景を見ていると日常の尊さと世界の美しさを心から感じるよ。
94,参議雅経,み吉野の 山の秋風 さ夜ふけて ふるさと寒く 衣打つなり,吉野の山の秋風に夜は更けて、このふるさとは寒々として、衣を打つ音が聞こえてくるようだ。,新古今集 秋下 483,みよ,吉野の山に秋風が吹き、夜が更けていく。懐かしいこの里は、ひんやりと冷え、どこからか衣を打つ音が聞こえてくる。なんと風情のある夜だろう。,夜が更けて風の音と衣を打つリズムが聞こえてくる。古都・吉野の秋の夜長を彩る風流なライブパフォーマンスだ。
95,前大僧正慈円,おほけなく うき世の民に おほふかな わが立つ杣に 墨染の袖,身のほどを過ぎて、憂き俗世の人たちに覆いかけることよ。私の立っているこの比叡山に住みはじめた墨染の袖を。,千載集 雑中 1137,おほけ(読み方: おおけ),身の程知らずかもしれないが、この比叡山にいる私の墨染の袖で、苦しみにあえぐこの世の人々を、一人でも多く救ってあげたいものだ。,身の程知らずかもしれないが私のこの袖で世界中の人々を包み込んで守ってあげたい！溢れんばかりの慈愛と使命感に燃えている。
96,入道前太政大臣,花さそふ 嵐の庭の 雪ならで ふりゆくものは わが身なりけり,花を誘う嵐の庭の雪のように桜が降りゆく、いや、古りゆくものは年老いた我が身であったよ。,新勅撰集 雑一 1052,はなさ,桜の花を誘って嵐が吹き、庭に雪のように花びらが舞い散っている。いや、本当に散りゆくのは、年老いていく我が身であったよ。しかし、それもまた自然の摂理なのだ。,花吹雪の中で私も一緒に年を重ねていく。桜と共に変化していく自分の人生、なんて優雅で美しい老い方だろう。
97,権中納言定家,来ぬ人を 松帆の浦の 夕なぎに 焼くや藻塩の 身もこがれつつ,来ない人を待っています、松帆の浦の夕凪に焼く藻塩のように、わが身も恋い焦がされながら。,新勅撰集 恋三 849,こぬ,まだ来ないあなたを、松帆の浦の夕凪の中で、藻塩を焼く煙のように、身を焦がしながら待っています。この待ち時間さえも、愛おしいのです。,製塩の炎のように私の心は恋で燃え上がっている！待ち人が来ない時間さえも情熱を燃やす燃料にしてしまうほど私は熱い。
98,従二位家隆,風そよぐ 楢の小川の 夕暮は みそぎぞ夏の しるしなりける,風がそよぎ楢の葉にかかる、そんな「ならの小川」の夕暮れは、みそぎこそが夏のしるしであるよ。,新勅撰集 夏 192,かぜそ,風がそよぎ、楢の葉を揺らす奈良の小川の夕暮れ。川で行われる禊の儀式だけが、夏がまだここにあることを教えてくれる、唯一のしるしなのだ。,風が吹く奈良の小川の夕暮れにみそぎの光景があり、私は季節の節目に心身を清めて整えることを受け入れている。
99,後鳥羽院,人もをし 人も恨めし あぢきなく 世を思ふゆゑに もの思ふ身は,人がいとおしくも、恨めしくもあるよ。つまらないものだと世の中を思うために物思いに苦しむ我が身は。,続後撰集 雑中 1202,ひとも,人が愛おしくもあり、また恨めしくもある。この世はままならないものだと思い悩むがゆえに、私の心はいつも揺れ動いている。それこそが、生きている証なのだ。,人が愛おしかったり憎かったり人間って本当に面白い！複雑な世の中だからこそ悩み考える楽しさがある。感情豊かに生きるのは素晴らしい。
100,順徳院,ももしきや 古き軒端の しのぶにも なほあまりある 昔なりけり,宮中の古い軒端に生えているしのぶ草を見るにつけ、やはりしのび尽くせぬ昔であったよ。,続後撰集 雑下 1205,もも,壮麗な宮中の古い軒端に生えるしのぶ草を見るにつけても、ああ、やはり偲び尽くすことのできない、素晴らしい昔の日々であったなあと、感慨にふけるのです。,古い宮殿の軒端の植物を見ていると輝かしい歴史が鮮明に蘇ってくる。素晴らしい過去があったからこそ今がある、歴史の重みと美しさに乾杯！
